timestamp,order_id,status,user,sell_asset,buy_type,buy_quantity
2023-07-30,311675701,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A548 2023 Super-Speed Superior The New 52!,ERC20,4.99
2023-07-30,311675429,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3648 2022 Page 5 of Justice #9 (2007) Reward,ERC20,1.0
2023-07-30,311675108,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A450 2023 Super-Speed Uncommon Superwoman,ERC20,3.5
2023-07-30,311674616,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A6128 2022 Inks Green Lantern,ERC20,1.99
2023-07-30,311674488,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A5797 2022 Shazam! Character Art Freddy Freeman,ERC20,2.0
2023-07-30,311674087,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A5335 2022 Shazam! Family Power of Shazam!,ERC20,1.33
2023-07-30,311673861,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A555 2023 Super-Speed Uncommon Black Racer,ERC20,2.5
2023-07-30,311673778,filled,0x52f5b62ef90e017e8b55db1c9e5f0353c76ca3b5,A58106 2022 Comics Justice League #1 (1987),ETH,2.52525e-05
2023-07-30,311673724,filled,0x52f5b62ef90e017e8b55db1c9e5f0353c76ca3b5,A62791 2022 Comics Justice League #1 (1987),ETH,2.52525e-05
2023-07-30,311673666,filled,0x52f5b62ef90e017e8b55db1c9e5f0353c76ca3b5,A74712 2022 Comics Justice League #1 (1987),ETH,2.52525e-05
2023-07-30,311673442,filled,0x52f5b62ef90e017e8b55db1c9e5f0353c76ca3b5,A85287 2022 Comics Justice League #1 (1987),ETH,2.57575e-05
2023-07-30,311673052,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A506 2023 Super-Speed Common Superboy,ERC20,1.0
2023-07-29,311672293,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A296 2023 Super-Speed Uncommon Black Racer,ERC20,6.67
2023-07-29,311670878,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A14526 2022 Legends Stargirl,ERC20,2.0
2023-07-29,311670664,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A16589 2022 Legends Reverse-Flash,ERC20,2.5
2023-07-29,311670628,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1256 2023 Super-Speed Common Wonder Woman,ERC20,1.0
2023-07-29,311670534,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1806 2023 Super-Speed Common Shazam!/Darla,ERC20,1.0
2023-07-29,311670245,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A19457 2022 Shazam! Foil Editions Realm of the Gods,ERC20,2.0
2023-07-29,311669985,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A960 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.11
2023-07-29,311669854,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A23158 2022 Shazam! Foil Editions Inside the lair,ERC20,1.38
2023-07-29,311669265,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A10721 2022 Shazam! Character Art Pedro Peña,ERC20,1.0
2023-07-29,311669191,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,"A14861 2022 Shazam! ""Inspired by"" Illustrations Hespera",ERC20,3.5
2023-07-29,311669123,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,"A30272 2022 Shazam! ""Inspired by"" Illustrations Kalypso",ERC20,1.1
2023-07-29,311668855,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A4115 2022 Shazam! Champions Billy Batson,ERC20,1.0
2023-07-29,311668649,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A14621 2022 Head To Head Red Hood vs. Deathstroke,ERC20,1.0
2023-07-29,311668492,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A11485 2022 Head To Head Darkseid vs. Wonder Woman,ERC20,1.0
2023-07-29,311668303,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A15171 2022 Page 6 of Justice #9 (2007) Panel 1,ERC20,1.0
2023-07-29,311668299,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1077 2023 Super-Speed Uncommon Jesse Quick,ERC20,1.11
2023-07-29,311668080,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A670 2023 Puzzle Superior The Flash,ERC20,7.84
2023-07-29,311667921,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A23752 2022 Multiverse Batman Earth -44,ERC20,1.0
2023-07-29,311667339,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3019 2022 Super-Villains The Riddler,ERC20,5.0
2023-07-29,311667233,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A4160 2022 Super Heroes Batwing,ERC20,3.0
2023-07-29,311667109,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1387 2022 Civilians Patty Spivot,ERC20,7.0
2023-07-29,311666962,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A11356 2022 Alter Ego Superboy,ERC20,1.0
2023-07-29,311666937,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2310 2022 Super Heroes Nightwing,ERC20,5.0
2023-07-29,311666751,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A4127 2022 Super Heroes Wonder Girl,ERC20,3.0
2023-07-29,311666595,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A20897 2022 Pencils Superman,ERC20,1.0
2023-07-29,311666542,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2177 2022 Shazam! Character Art Darla Dudley,ERC20,4.5
2023-07-29,311666346,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2528 2022 Locations Mount Olympus,ERC20,4.95
2023-07-29,311664514,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2583 2022 Vivid Moments Lex Luthor Calls for Superman - Forever Evil #1 (2013),ERC20,4.0
2023-07-29,311664322,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A5508 2022 Shazam! Compositions We are the power,ERC20,3.0
2023-07-29,311664232,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A5775 2022 Sketch Art / Pencils Superman,ERC20,1.0
2023-07-29,311663961,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A5833 2022 Legends Green Arrow,ERC20,4.44
2023-07-29,311663585,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A5305 2022 Super Heroes Deadman,ERC20,3.0
2023-07-29,311663396,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3180 2022 Super-Villains Captain Boomerang,ERC20,3.0
2023-07-29,311663053,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,"A1491 2022 DC Showcase: Multiverse Common The Joker: Look Out, Gotham!",ERC20,1.45
2023-07-29,311663019,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1070 2023 Dawn of DC Mega Amazons,ERC20,5.0
2023-07-29,311662922,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3759 2022 Head To Head White Canary vs. Black Canary,ERC20,3.99
2023-07-29,311662645,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2589 2022 Shazam! Family Superfam from Philly,ERC20,4.0
